Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2056","","Donnée officielle"
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1865.9","","Donnée officielle"
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1843.4","","Donnée officielle"
"PP","Prix à la Production","86","Grenade","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","5710.6","","Donnée officielle"
"PP","Prix à la Production","86","Grenade","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","4592.9","","Donnée officielle"
"PP","Prix à la Production","86","Grenade","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","5710.6","","Donnée officielle"
"PP","Prix à la Production","86","Grenade","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","5501.4","","Donnée officielle"
"PP","Prix à la Production","99","Islande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","4442.8","","Donnée officielle"
"PP","Prix à la Production","99","Islande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3342.6","","Donnée officielle"
"PP","Prix à la Production","99","Islande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2914","","Donnée officielle"
"PP","Prix à la Production","99","Islande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","2130.5","","Donnée officielle"
"PP","Prix à la Production","108","Kazakhstan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1197.7","","Donnée officielle"
"PP","Prix à la Production","108","Kazakhstan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1259.1","","Donnée officielle"
"PP","Prix à la Production","108","Kazakhstan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1214.3","","Donnée officielle"
"PP","Prix à la Production","108","Kazakhstan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1199.9","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1876.4","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2067.9","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2092.3","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","2027.4","","Donnée officielle"
"PP","Prix à la Production","121","Liban","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2674","","Donnée officielle"
"PP","Prix à la Production","121","Liban","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1658.4","","Donnée officielle"
"PP","Prix à la Production","121","Liban","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2191","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","5366","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","5500.3","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","4936.9","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","4833.1","","Donnée officielle"
"PP","Prix à la Production","131","Malaisie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2011.4","","Donnée officielle"
"PP","Prix à la Production","131","Malaisie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2218","","Donnée officielle"
"PP","Prix à la Production","131","Malaisie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1676.7","","Donnée officielle"
"PP","Prix à la Production","134","Malte","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1341.7","","Donnée officielle"
"PP","Prix à la Production","134","Malte","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1414.8","","Donnée officielle"
"PP","Prix à la Production","134","Malte","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1915.4","","Donnée officielle"
"PP","Prix à la Production","134","Malte","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","2540.3","","Donnée officielle"
"PP","Prix à la Production","137","Maurice","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1911.8","","Donnée officielle"
"PP","Prix à la Production","137","Maurice","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2024.7","","Donnée officielle"
"PP","Prix à la Production","137","Maurice","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1874.3","","Donnée officielle"
"PP","Prix à la Production","137","Maurice","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1708","","Donnée officielle"
"PP","Prix à la Production","138","Mexique","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1634","","Donnée officielle"
"PP","Prix à la Production","138","Mexique","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1668","","Donnée officielle"
"PP","Prix à la Production","138","Mexique","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1705.1","","Donnée officielle"
"PP","Prix à la Production","138","Mexique","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1563.5","","Donnée officielle"
"PP","Prix à la Production","149","Népal","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2572.3","","Donnée officielle"
"PP","Prix à la Production","149","Népal","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2133","","Donnée officielle"
"PP","Prix à la Production","149","Népal","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2009.2","","Donnée officielle"
"PP","Prix à la Production","149","Népal","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1815.1","","Donnée officielle"
"PP","Prix à la Production","162","Norvège","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2317.5","","Donnée officielle"
"PP","Prix à la Production","162","Norvège","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2455.6","","Donnée officielle"
"PP","Prix à la Production","162","Norvège","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2361.4","","Donnée officielle"
"PP","Prix à la Production","162","Norvège","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","2175.1","","Donnée officielle"
"PP","Prix à la Production","299","Palestine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","3589.5","","Donnée officielle"
"PP","Prix à la Production","299","Palestine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3466.4","","Donnée officielle"
"PP","Prix à la Production","299","Palestine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","3710.3","","Donnée officielle"
"PP","Prix à la Production","179","Qatar","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","6044","","Donnée officielle"
"PP","Prix à la Production","179","Qatar","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","5494.5","","Donnée officielle"
"PP","Prix à la Production","179","Qatar","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","5494.5","","Donnée officielle"
"PP","Prix à la Production","179","Qatar","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","5494.5","","Donnée officielle"
"PP","Prix à la Production","183","Roumanie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1806.3","","Donnée officielle"
"PP","Prix à la Production","183","Roumanie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1862.2","","Donnée officielle"
"PP","Prix à la Production","183","Roumanie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1809.8","","Donnée officielle"
"PP","Prix à la Production","183","Roumanie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1743.6","","Donnée officielle"
"PP","Prix à la Production","184","Rwanda","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2514.4","","Donnée officielle"
"PP","Prix à la Production","184","Rwanda","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2509.9","","Donnée officielle"
"PP","Prix à la Production","184","Rwanda","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","2395.6","","Donnée officielle"
"PP","Prix à la Production","189","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","4318.5","","Donnée officielle"
"PP","Prix à la Production","189","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","4318.5","","Donnée officielle"
"PP","Prix à la Production","189","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","4318.5","","Donnée officielle"
"PP","Prix à la Production","38","Sri Lanka","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2639.9","","Donnée officielle"
"PP","Prix à la Production","38","Sri Lanka","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2551.1","","Donnée officielle"
"PP","Prix à la Production","38","Sri Lanka","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2403.5","","Donnée officielle"
"PP","Prix à la Production","38","Sri Lanka","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","2396.4","","Donnée officielle"
"PP","Prix à la Production","207","Suriname","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","3135.8","","Donnée officielle"
"PP","Prix à la Production","207","Suriname","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","3819.1","","Donnée officielle"
"PP","Prix à la Production","207","Suriname","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","3539.8","","Donnée officielle"
"PP","Prix à la Production","217","Togo","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2583.3","","Donnée officielle"
"PP","Prix à la Production","234","Uruguay","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1318.2","","Donnée officielle"
"PP","Prix à la Production","234","Uruguay","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1334.4","","Donnée officielle"
"PP","Prix à la Production","234","Uruguay","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2694.6","","Donnée officielle"
"PP","Prix à la Production","237","Viet Nam","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","3852.8","","Donnée officielle"
"PP","Prix à la Production","237","Viet Nam","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","4270.1","","Donnée officielle"
"PP","Prix à la Production","237","Viet Nam","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","4293","","Donnée officielle"
"PP","Prix à la Production","237","Viet Nam","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","4405.9","","Donnée officielle"
"PP","Prix à la Production","249","Yémen","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","5091.4","","Donnée officielle"
"PP","Prix à la Production","249","Yémen","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","4503.2","","Donnée officielle"
"PP","Prix à la Production","249","Yémen","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","4995","","Donnée officielle"
"PP","Prix à la Production","249","Yémen","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","4947.1","","Donnée officielle"
"PP","Prix à la Production","251","Zambie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2595.6","","Donnée officielle"
"PP","Prix à la Production","251","Zambie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2285.8","","Donnée officielle"
